arm,closed_loop_gate_coverage,initial_detector_gate_recall,time_to_gate_open_s,gate_event_count,n_config
D0,0.9494949494949495,0.0,20.197916666666668,180.14141414141415,33
L1,0.6565656565656566,0.0,111.18055555555556,19.5959595959596,33
LPROJ,0.4949494949494949,0.0101010101010101,81.61111111111111,19.03030303030303,33
OPROJ,0.9595959595959597,0.9595959595959597,10.526041666666668,206.54545454545453,33
Q1,0.6565656565656566,0.0,23.53787878787879,83.7979797979798,33
QPROJ,0.6565656565656566,0.31313131313131315,23.53787878787879,83.92929292929293,33
bareL,0.0,0.0,,0.0,33
bareQ,0.0,0.0,,0.0,33
