p_hard,p_soft,z_soft,dev_attack_misses,benign_open_tick_frac,mean_open_latency_s
1,3,3.0,0,0.09421797004991679,0.3333333333333333
1,3,3.5,0,0.08735440931780365,0.4166666666666667
1,3,4.5,0,0.08215474209650582,0.4166666666666667
1,3,6.0,0,0.07965890183028286,0.4166666666666667
1,3,10.0,0,0.07965890183028286,0.4166666666666667
1,5,3.0,0,0.08756239600665557,0.375
1,5,3.5,0,0.08153078202995008,0.4166666666666667
1,5,4.5,0,0.07965890183028286,0.4166666666666667
1,5,6.0,0,0.07965890183028286,0.4166666666666667
1,5,10.0,0,0.07965890183028286,0.4166666666666667
1,8,3.0,0,0.08007487520798669,0.4166666666666667
1,8,3.5,0,0.07965890183028286,0.4166666666666667
1,8,4.5,0,0.07965890183028286,0.4166666666666667
1,8,6.0,0,0.07965890183028286,0.4166666666666667
1,8,10.0,0,0.07965890183028286,0.4166666666666667
1,12,3.0,0,0.07965890183028286,0.4166666666666667
1,12,3.5,0,0.07965890183028286,0.4166666666666667
1,12,4.5,0,0.07965890183028286,0.4166666666666667
1,12,6.0,0,0.07965890183028286,0.4166666666666667
1,12,10.0,0,0.07965890183028286,0.4166666666666667
1,20,3.0,0,0.07965890183028286,0.4166666666666667
1,20,3.5,0,0.07965890183028286,0.4166666666666667
1,20,4.5,0,0.07965890183028286,0.4166666666666667
1,20,6.0,0,0.07965890183028286,0.4166666666666667
1,20,10.0,0,0.07965890183028286,0.4166666666666667
1,10000,3.0,0,0.07965890183028286,0.4166666666666667
1,10000,3.5,0,0.07965890183028286,0.4166666666666667
1,10000,4.5,0,0.07965890183028286,0.4166666666666667
1,10000,6.0,0,0.07965890183028286,0.4166666666666667
1,10000,10.0,0,0.07965890183028286,0.4166666666666667
2,3,3.0,0,0.09400998336106488,1.25
2,3,3.5,0,0.08714642262895174,1.4166666666666667
2,3,4.5,0,0.0819467554076539,1.4166666666666667
2,3,6.0,0,0.07945091514143095,1.4166666666666667
2,3,10.0,0,0.07945091514143095,1.4166666666666667
2,5,3.0,0,0.08735440931780365,1.2916666666666667
2,5,3.5,0,0.08132279534109817,1.4166666666666667
2,5,4.5,0,0.07945091514143095,1.4166666666666667
2,5,6.0,0,0.07945091514143095,1.4166666666666667
2,5,10.0,0,0.07945091514143095,1.4166666666666667
2,8,3.0,0,0.07986688851913477,1.375
2,8,3.5,0,0.07945091514143095,1.4166666666666667
2,8,4.5,0,0.07945091514143095,1.4166666666666667
2,8,6.0,0,0.07945091514143095,1.4166666666666667
2,8,10.0,0,0.07945091514143095,1.4166666666666667
2,12,3.0,0,0.07945091514143095,1.4166666666666667
2,12,3.5,0,0.07945091514143095,1.4166666666666667
2,12,4.5,0,0.07945091514143095,1.4166666666666667
2,12,6.0,0,0.07945091514143095,1.4166666666666667
2,12,10.0,0,0.07945091514143095,1.4166666666666667
2,20,3.0,0,0.07945091514143095,1.4166666666666667
2,20,3.5,0,0.07945091514143095,1.4166666666666667
2,20,4.5,0,0.07945091514143095,1.4166666666666667
2,20,6.0,0,0.07945091514143095,1.4166666666666667
2,20,10.0,0,0.07945091514143095,1.4166666666666667
2,10000,3.0,0,0.07945091514143095,1.4166666666666667
2,10000,3.5,0,0.07945091514143095,1.4166666666666667
2,10000,4.5,0,0.07945091514143095,1.4166666666666667
2,10000,6.0,0,0.07945091514143095,1.4166666666666667
2,10000,10.0,0,0.07945091514143095,1.4166666666666667
3,3,3.0,0,0.09380199667221296,2.1666666666666665
3,3,3.5,0,0.08693843594009983,2.4166666666666665
3,3,4.5,0,0.081738768718802,2.4166666666666665
3,3,6.0,0,0.07924292845257903,2.4166666666666665
3,3,10.0,0,0.07924292845257903,2.4166666666666665
3,5,3.0,0,0.08714642262895174,2.2083333333333335
3,5,3.5,0,0.08111480865224625,2.4166666666666665
3,5,4.5,0,0.07924292845257903,2.4166666666666665
3,5,6.0,0,0.07924292845257903,2.4166666666666665
3,5,10.0,0,0.07924292845257903,2.4166666666666665
3,8,3.0,0,0.07965890183028286,2.3333333333333335
3,8,3.5,0,0.07924292845257903,2.4166666666666665
3,8,4.5,0,0.07924292845257903,2.4166666666666665
3,8,6.0,0,0.07924292845257903,2.4166666666666665
3,8,10.0,0,0.07924292845257903,2.4166666666666665
3,12,3.0,0,0.07924292845257903,2.4166666666666665
3,12,3.5,0,0.07924292845257903,2.4166666666666665
3,12,4.5,0,0.07924292845257903,2.4166666666666665
3,12,6.0,0,0.07924292845257903,2.4166666666666665
3,12,10.0,0,0.07924292845257903,2.4166666666666665
3,20,3.0,0,0.07924292845257903,2.4166666666666665
3,20,3.5,0,0.07924292845257903,2.4166666666666665
3,20,4.5,0,0.07924292845257903,2.4166666666666665
3,20,6.0,0,0.07924292845257903,2.4166666666666665
3,20,10.0,0,0.07924292845257903,2.4166666666666665
3,10000,3.0,0,0.07924292845257903,2.4166666666666665
3,10000,3.5,0,0.07924292845257903,2.4166666666666665
3,10000,4.5,0,0.07924292845257903,2.4166666666666665
3,10000,6.0,0,0.07924292845257903,2.4166666666666665
3,10000,10.0,0,0.07924292845257903,2.4166666666666665
5,3,3.0,0,0.09338602329450914,2.6666666666666665
